"Date";"Solde au 12/10/12";"Débit Euros";"Crédit Euros";"Solde";"Categorie"
"09-Aoû";"001007 Electricite De France       
*111540180216 14616 7   Edf Pr8    ";"65,00";;"-1584,06";"electricite"
"08-Aoû";"Carte Tour Du Monde    07/08/12    
.                                  ";"36,00";;"-1620,06";"frais bancaires"
"07-Aoû";"Carte Rel.Total 59934  06/08/12    
.                                  ";"78,60";;"-1698,66";"frais bancaires"
"07-Aoû";"Ret Dab Brest          06 08 12    
.                                  ";"40,00";;"-1738,66";"frais bancaires"
"07-Aoû";"Carte Sarl Le Bars     06/08/12    
.                                  ";"16,60";;"-1755,26";"frais bancaires"
"07-Aoû";"Prlv   Predica Garantie Deces      
*82900255460787*001tema3           ";"4,87";;"-1760,13";"frais bancaires"
"07-Aoû";"**cotisation Cs Option 2           
.                                  ";"6,00";;"-1766,13";"frais bancaires"
"06-Aoû";"Carte Scubaland        03/08/12    
.                                  ";"115,00";;"-1881,13";"frais bancaires"
"06-Aoû";"Carte Leclerc Db Dis   04/08/12    
.                                  ";"29,47";;"-1910,6";"frais bancaires"
"06-Aoû";"Carte Decathlon 0032   03/08/12    
.                                  ";"22,95";;"-1933,55";"sport"
"06-Aoû";"Carte Fender Tex Mex   04/08/12    
.                                  ";"15,90";;"-1949,45";"food"
"06-Aoû";"Carte Aeroport Parkin  03/08/12    
.                                  ";"2,40";;"-1951,85";"transport"
"06-Aoû";"332801 Sfr                         
8716558945erep120721ad             ";"50,55";;"-2002,4";"telephone"
"04-Aoû";"Ret Dab Festival Du Bout Du        
.                                  ";"60,00";;"-2062,4";"frais bancaires"
"02-Aoû";"Carte Tabac Pr Didou   01/08/12    
.                                  ";"62,00";;"-2124,4";"frais bancaires"
"02-Aoû";"Ret Dab Brest La Frega 01 08 12    
.                                  ";"60,00";;"-2184,4";"frais bancaires"
"02-Aoû";"Carte Casino 24 Porte  01/08/12    
.                                  ";"8,00";;"-2192,4";"food"
"02-Aoû";"Carte Le Longchamp     01/08/12    
.                                  ";"7,70";;"-2200,1";"food"
"02-Aoû";"** Cotis.Service Gael              
.                                  ";"1,13";;"-2201,23";"frais bancaires"
"01-Aoû";"Vir.Monfort Nicole                 
.                                  ";"486,00";;"-2687,23";"picole"
"31-Jul";"Ret Dab Brest          28 07 12    
.                                  ";"80,00";;"-2767,23";"picole"
"30-Jul";"Carte Decathlon 0032   28/07/12    
.                                  ";"59,95";;"-2827,18";"sport"
"30-Jul";"Vir    Capgemini Technology Ser    
Virement Salaire      S0000        ";;"2 306,13";"-521,05";"salary"
"30-Jul";"Prlv   Ass Pacifica  05973356907   
6919182394113907021ass Pacifica    ";"12,37";;"-533,42";"picole"
"27-Jul";"Carte Sodexho Siege    26/07/12    
.                                  ";"14,48";;"-547,9";"picole"
"27-Jul";"Carte Creperie Ble Noi 25/07/12    
.                                  ";"19,00";;"-566,9";"food"
"26-Jul";"Carte Ticketnet Billet 25/07/12    
.                                  ";"108,60";;"-675,5";"picole"
"25-Jul";"Carte Superette Recouv 24/07/12    
.                                  ";"14,60";;"-690,1";"picole"
"24-Jul";"Ret Dab Brest          21 07 12    
.                                  ";"60,00";;"-750,1";"picole"
"24-Jul";"Carte Sa Steren        23/07/12    
.                                  ";"59,71";;"-809,81";"picole"
