MyDate	GroupLib	Libelle	Debit	Credit	Category	Weekly	Monthly	Yearly
2017-03-17 00:00:00	PAIEMENTPARCARTE	RELAISDUCOLOMBIERLANVAL16/03	14	0	NULL	NULL	NULL	NULL
2017-03-17 00:00:00	PAIEMENTPARCARTE	INTERMARCHELANVALL16/03	7	0	NULL	NULL	NULL	NULL
2017-03-17 00:00:00	PRELEVEMENT	SUPPLETIS018506	172	0	NULL	NULL	NULL	NULL
2017-03-16 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN15/03	16	0	NULL	NULL	NULL	NULL
2017-03-16 00:00:00	PAIEMENTPARCARTE	INTERMARCHELANVAL15/03	6	0	NULL	NULL	NULL	NULL
2017-03-15 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN14/03	9	0	NULL	NULL	NULL	NULL
2017-03-15 00:00:00	PAIEMENTPARCARTE	TABACPRESSELOTODINAN14/03	14	0	NULL	NULL	NULL	NULL
2017-03-15 00:00:00	PAIEMENTPARCARTE	SARLJMVIPINAULTTADEN14/03	6	0	NULL	NULL	NULL	NULL
2017-03-14 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN13/03	7	0	NULL	NULL	NULL	NULL
2017-03-14 00:00:00	PAIEMENTPARCARTE	GOURMETWOKTADEN13/03	17	0	NULL	NULL	NULL	NULL
2017-03-13 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN12/03	11	0	NULL	NULL	NULL	NULL
2017-03-13 00:00:00	PAIEMENTPARCARTE	CAFEDUCHATEAUDINAN12/03	16	0	NULL	NULL	NULL	NULL
2017-03-13 00:00:00	PAIEMENTPARCARTE	CARREFOURCITYDINAN11/03	16	0	NULL	NULL	NULL	NULL
2017-03-13 00:00:00	PAIEMENTPARCARTE	VIVECODINAN12/03	6	0	NULL	NULL	NULL	NULL
2017-03-13 00:00:00	PAIEMENTPARCARTE	CAFEDUCHATEAUDINAN10/03	18	0	NULL	NULL	NULL	NULL
2017-03-13 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN10/03	10	0	NULL	NULL	NULL	NULL
2017-03-13 00:00:00	PAIEMENTPARCARTE	LE1DELAPLACEDINAN10/03	8	0	NULL	NULL	NULL	NULL
2017-03-10 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN09/03	8	0	NULL	NULL	NULL	NULL
2017-03-09 00:00:00	PAIEMENTPARCARTE	COIFF&COTADEN08/03	16	0	NULL	NULL	NULL	NULL
2017-03-09 00:00:00	PAIEMENTPARCARTE	INTERMARCHETADEN08/03	8	0	NULL	NULL	NULL	NULL
2017-03-09 00:00:00	PRELEVMNT	DEMENAGEMENTSGUIOMARD	149	0	NULL	NULL	NULL	NULL
2017-03-09 00:00:00	PRELEVEMENT	PRETPERSONNEL018506	509	0	NULL	NULL	NULL	NULL
2017-03-08 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN07/03	11	0	NULL	NULL	NULL	NULL
2017-03-07 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN06/03	4	0	NULL	NULL	NULL	NULL
2017-03-06 00:00:00	PAIEMENTPARCARTE	BARDESVEDETTEDINAN03/03	14	0	NULL	NULL	NULL	NULL
2017-03-06 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN04/03	10	0	NULL	NULL	NULL	NULL
2017-03-06 00:00:00	PAIEMENTPARCARTE	INTERMARCHENFCTADEN03/03	8	0	NULL	NULL	NULL	NULL
2017-03-06 00:00:00	RETRAITAUDISTRIBUTEUR	BRESTLAFREGATE04/0312H15	60	0	NULL	NULL	NULL	NULL
2017-03-06 00:00:00	FRAIS	CHEQUEDEBANQUE	14	0	NULL	NULL	NULL	NULL
2017-03-04 00:00:00	CHEQUEDEBANQUE	CHEQUEDEBANQUE	1188	0	NULL	NULL	NULL	NULL
