YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1948    4.1    2.9    9.4   10.1   15.0   16.4   17.2   18.7   14.6   11.1    5.4    1.5     3.2    11.5    17.4    10.4   10.62
1949    1.6    2.3    4.0   12.4   12.4   17.7   21.6   20.5   18.6   11.8    5.3    4.3     1.8     9.6    19.9    11.9   10.81
1950    0.7    4.3    6.5    8.4   15.5   20.1   22.3   19.6   15.5   10.3    6.8    0.2     3.1    10.1    20.7    10.9   11.19
1951    2.7    3.6    5.5   10.0   13.2   17.3   20.0   19.2   16.4   10.5    6.9    1.3     2.2     9.6    18.8    11.3   10.46
1952    0.6    0.4    7.6   11.7   15.5   19.9   23.4   20.0   13.2   10.7    4.7    2.6     0.8    11.6    21.1     9.5   10.75
1953   -0.8    0.7    6.7   10.9   16.1   16.5   20.5   19.6   16.8   12.2    4.6    3.6     0.8    11.2    18.9    11.2   10.53
1954    0.0    1.2    7.1    8.4   13.4   18.7   18.3   18.2   16.4   10.8    7.1    4.2     1.6     9.6    18.4    11.4   10.27
1955    2.9    2.7    4.6   10.9   14.2   17.8   20.0   19.2   15.5    9.9    4.8    5.4     3.3     9.9    19.0    10.1   10.56
1956    3.8   -6.1    5.9    8.5   15.3   16.5   19.5   17.3   16.6    9.0    4.2    2.8     1.0     9.9    17.8     9.9    9.66
1957   -0.2    5.8    9.0    9.9   11.9   17.3   19.5   18.0   15.2    9.8    6.4    2.0     2.8    10.3    18.3    10.5   10.45
1958    1.5    5.4    3.7    7.5   15.8   16.6   19.6   19.3   17.5    9.5    5.5    4.4     3.0     9.0    18.5    10.8   10.32
1959    2.4    2.6    8.2   10.4   14.9   18.1   21.8   19.0   17.2   10.4    4.2    4.3     3.1    11.2    19.6    10.6   11.13
1960    1.6    4.1    7.4   10.1   15.6   18.9   18.0   18.1   13.7   10.0    7.6    2.5     3.3    11.0    18.3    10.4   10.78
1961    1.7    4.9    7.0   11.6   12.5   17.3   17.6   17.3   17.6   10.5    4.6    2.9     3.0    10.4    17.4    10.9   10.42
1962    2.7    1.2    2.7    8.6   11.7   16.0   18.0   20.2   14.8    9.9    3.0   -1.2     2.3     7.7    18.1     9.2    9.31
1963   -4.2   -2.7    4.0    9.8   12.6   15.9   19.5   16.3   14.5    8.8    7.4   -1.0    -2.7     8.8    17.2    10.2    8.39
1964   -1.6    3.1    4.4    9.7   14.5   17.6   20.8   17.9   15.0    8.8    5.8    0.5     0.2     9.5    18.8     9.9    9.58
1965    0.5   -1.2    3.9    7.6   12.8   17.0   17.2   16.6   12.3    9.6    5.0    3.4    -0.1     8.1    16.9     9.0    8.48
1966   -0.4    5.4    4.2   10.2   13.9   18.2   17.3   17.3   15.6   12.0    3.0    2.4     2.8     9.4    17.6    10.2   10.01
1967    0.6    2.8    6.4    8.0   12.4   16.0   20.3   17.9   14.1   11.6    5.1   -0.2     1.9     8.9    18.1    10.3    9.80
1968   -0.6    2.6    5.3    9.7   12.2   16.4   18.3   16.0   13.4   11.5    4.6    1.6     0.6     9.1    16.9     9.8    9.10
1969    1.2   -0.4    5.0    8.7   13.7   14.4   19.4   17.7   15.0    9.8    5.4   -1.7     0.8     9.1    17.2    10.1    9.29
1970    0.4    2.8    2.6    6.6   12.2   17.8   18.8   18.5   15.2    8.7    6.1    1.1     0.5     7.1    18.4    10.0    9.00
1971   -1.3    1.6    1.3   10.8   13.9   15.2   20.2   19.7   13.9   10.2    3.6    1.2     0.5     8.7    18.4     9.2    9.18
1972    1.2    3.4    6.1    8.3   12.5   15.2   18.2   17.5   11.6    8.1    6.0    1.2     1.9     9.0    17.0     8.6    9.11
1973    0.3    1.0    4.1    6.4   13.8   17.0   18.2   19.3   15.1    8.5    4.1    0.9     0.8     8.1    18.2     9.2    9.08
1974    3.4    4.4    7.2    8.8   12.2   15.2   18.2   18.8   14.0    5.5    5.2    3.7     2.9     9.4    17.4     8.2    9.48
1975    3.5    2.3    4.4    8.8   12.7   15.2   18.9   18.3   15.7    8.1    5.9    1.3     3.2     8.6    17.5     9.9    9.79
1976    1.1    1.7    4.4    8.5   14.5   19.4   20.3   16.9   12.8   10.4    5.4    0.9     1.4     9.1    18.9     9.5    9.72
1977    1.6    5.4    7.4    8.0   12.1   15.5   18.2   16.7   13.4   10.8    5.4    2.6     2.6     9.2    16.8     9.9    9.62
1978    1.2    1.9    5.5    7.6   12.0   15.6   17.5   16.3   14.0    8.5    3.7    3.2     1.9     8.4    16.5     8.7    8.87
1979   -1.1    4.0    6.1    7.3   12.7   16.9   19.1   16.8   14.8   10.8    4.6    3.6     2.0     8.7    17.6    10.1    9.60
1980    0.6    4.2    5.1    7.3   11.3   14.6   16.2   18.5   15.0    8.7    3.8   -0.2     2.8     7.9    16.4     9.2    9.07
1981   -0.7   -0.4    7.9   10.5   12.5   16.5   17.3   18.5   15.2   10.0    4.4    2.0    -0.4    10.3    17.4     9.9    9.29
1982    3.0    2.4    5.0    8.8   13.4   17.3   20.2   17.9   16.0    9.7    6.2    3.7     2.5     9.1    18.5    10.6   10.16
1983    2.1    0.4    5.9    8.9   11.2   17.7   22.7   19.4   15.9   10.4    5.2    2.2     2.1     8.7    19.9    10.5   10.29
1984    1.8    1.5    3.5    8.3   10.4   16.1   19.6   18.4   13.9   10.6    6.4    2.8     1.8     7.4    18.0    10.3    9.39
1985   -3.4    0.1    3.1    9.4   12.4   15.3   20.3   18.3   16.4   11.2    2.9    2.7    -0.2     8.3    18.0    10.2    9.07
1986    1.5   -1.8    4.7    6.9   15.4   17.2   19.8   18.4   15.5   11.8    5.0    2.3     0.8     9.0    18.5    10.8    9.76
1987   -1.9    2.4    3.6    9.9   11.1   15.3   19.4   18.8   17.5   11.6    6.2    3.3     0.9     8.2    17.8    11.8    9.68
1988    4.3    2.7    5.1    9.4   13.9   16.9   18.9   19.5   15.0   11.6    4.6    2.9     3.4     9.5    18.4    10.4   10.43
